"Food Code","code"
"Food Name","name"
"No. of Regions","regn"
"Moisture","water"
"Protein","protcnt"
"Ash","ash"
"Total Fat","fatce"
"Total Dietary Fiber","fibtg"
"Insoluble Dietary Fiber","fibins"
"Soluble Dietary Fiber","fibsol"
"Carbohydrate","choavldf"
"Energy","enerc"
"Thiamine (B1)","thia"
"Riboflavin (B2)","ribf"
"Niacin (B3)","nia"
"Pantothenic acid (B5)","pantac"
"Total B6","vitb6c"
"Biotin (B7)","biot"
"Total Folates (B9)","folsum"
"Total Ascorbic acid","vitc"
"Retinol","retol"
"Ergocalciferol (D2)","ergcal"
"Cholecalciferol (D3)","chocal"
"25-OH-D3","doh25"
"α-Tocopherol","tocpha"
"β-Tocopherol","tocphb"
"γ-Tocopherol","tocphg"
"δ-Tocopherol","tocphd"
"α-Tocotrienol","toctra"
"β-Tocotrienol","toctrb"
"γ-Tocotrienol","toctrg"
"δ-Tocotrienol","toctrd"
"α-Tocopherol equivalent","vite"
"Phylloquinones (K1)","vitk1"
"Menaquinones (K2)","vitk2"
"Lutein","lutn"
"Zeaxanthin","zea"
"β-Cryptoxanthin","crypxb"
"Lycopene","lycpn"
"γ-Carotene","cartg"
"α-Carotene","carta"
"β-Carotene","cartb"
"Total Carotenoids","cartoid"
"Aluminium (Al)","al"
"Arsenic (As)","as"
"Cadmium (Cd)","cd"
"Calcium (Ca)","ca"
"Chromium (Cr)","cr"
"Cobalt (Co)","co"
"Copper (Cu)","cu"
"Iron (Fe)","fe"
"Lead (Pb)","pb"
"Lithium (Li)","li"
"Magnesium (Mg)","mg"
"Manganese (Mn)","mn"
"Mercury (Hg)","hg"
"Molybdenum (Mo)","mo"
"Nickel (Ni)","ni"
"Phophorus (P)","p"
"Potassium (K)","k"
"Selenium (Se)","se"
"Sodium (Na)","na"
"Zinc (Zn)","zn"
"Total Available CHO","cho"
"Total Starch","starch"
"Fructose","frus"
"Glucose","glus"
"Sucrose","sucs"
"Maltose","mals"
"Total Free Sugars","fsugar"
"Lactose Content","lactose"
"Butyric acid (C4:0)","f4d0"
"Caproic acid (C6:0)","f6d0"
"Caprylic acid (C8:0)","f8d0"
"Capric acid (C10:0)","f10d0"
"Undecanoic acid (C11:0)","f11d0"
"Lauric acid (C12:0)","f12d0"
"Myristic acid (C14:0)","f14d0"
"Pentadecanoic acid (C15:0)","f15d0"
"Palmitic acid (C16:0)","f16d0"
"Stearic acid (C18:0)","f18d0"
"Arachidic acid (C20:0)","f20d0"
"Behenic acid (C22:0)","f22d0"
"Lignoceric acid (C24:0)","f24d0"
"Myristoleic acid (C14:1)","f14d1cn5"
"Palmitoleic acid (C16:1)","f16d1cn7"
"Oleic acid (C18:1n9)","f18d1cn9"
"Elaidic acid (C18:1n9t)","f18d1tn9"
"Eicosenoic acid (C20:1n9)","f20d1cn9"
"Erucic acid (C22:1n9)","f22d1cn9"
"Nervonic acid (C24:1n9)","f24d1cn9"
"Linoleic acid (C18:2n6)","f18d2cn6"
"Eicosadienoic acid (C20:2)","f20d2n6"
"Docosadienoic acid (C22:2)","f22d2n6"
"α-Linolenic acid (C18:3n3)","f18d3n3"
"Eicosatrienoic acid (C20:3n6)","f20d3n6"
"Arachidonic acid (C20:4n6)","f20d4n6"
"Eicosapentaenoic acid (C20:5n3)","f20d5n3"
"Docosapentaenoic acid (C22:5n3)","f22d5n3"
"Docosahexaenoic acid (C22:6n3)","f22d6n3"
"Total Saturated Fatty acids (TSFA)","fasat"
"Total Monounsaturated Fatty acids (TMUFA)","fams"
"Total Polyunsaturated Fatty acids (TPUFA)","fapu"
"Cholesterol","cholc"
"Histidine","his"
"Isoleucine","ile"
"Luecine","leu"
"Lysine","lys"
"Methionine","met"
"Cysteine","cys"
"Phenylalanine","phe"
"Threonine","thr"
"Tryptophan","trp"
"Valine","val"
"Alanine","ala"
"Arginine","arg"
"Aspartic acid","asp"
"Glutamic acid","glu"
"Glycine","gly"
"Proline","pro"
"Serine","ser"
"Tyrosine","tyr"
"Total Oxalate","oxalt"
"Soluble Oxalate","oxals"
"Insoluble Oxalate","oxali"
"Cis-Aconitic acid","caconac"
"Citric acid","citac"
"Fumaric acid","fumac"
"Malic acid","malac"
"Quinic acid","quinac"
"Succinic acid","sucac"
"Tartaric acid","tarac"
"3,4-Dihydroxy Benzoic acid","dhbenzac34"
"3-Hydroxy Benzaldehyde","hbenzal3"
"Protocatechuic acid","pcathac"
"Vanillic acid","vanlac"
"Gallic acid","gallac"
"Cinnamic acid","cinmac"
"o-Coumaric acid","coumaco"
"p-Coumaric acid","coumacp"
"Caffeic acid","caffac"
"Chlorogenic acid","chlrac"
"Ferulic acid","ferac"
"Apigenin","apigen"
"Apigenin-6-C-gluoside","apigen6cgls"
"Apigenin-7-O-neohesperidoside","apigen7onshps"
"Luteolin","luteol"
"Kaempferol","kaemf"
"Quercetin","querce"
"Quercetin-3-β-D-glucoside","querce3bdgls"
"Quercetin-3-O-rutinoside","querce3ortns"
"Quercetin-3-β-galactoside","querce3bgls"
"Isorhamnetin","isormt"
"Myricetin","myrct"
"Resvertrol","rsvrtol"
"Hesperetin","hespt"
"Naringenin","narng"
"Hesperdin","hespd"
"Daidzein","daidzn"
"Genistein","gnstein"
"(-)-Epicatechin","epicatec"
"(-)-Epigallo catechin","epicategc"
"(-)-Epigallo catechin 3-gallate","epicatgc3gal"
"(+)-Catechin","catec"
"(-)-Gallocatechin gallate","galcatecgal"
"(-)-Gallocatechin","galcatec"
"Syringic acid","syrgac"
"Sinapinic acid","sinpac"
"Ellagic acid","ellgac"
"Total polyphenols","polyph"
"Raffinose","rafs"
"Stachyose","stas"
"Verbascose","vers"
"Ajugose","ajgs"
"Campesterol","camt"
"Stigmasterol","stgstr"
"β-Sitosterol","stostrb"
"Phytate","phytac"
"Total Saponin","sapon"
